timestamp,Ax ,Ay ,Az ,Gx ,Gy ,Gz ,Mx ,My ,Mz
2021_11_18_08:12:06.928,-0.04 ,-0.23 ,-0.98 ,-0.43 ,-0.79 ,0.61 ,19.26 ,23.08 ,35.44
2021_11_18_08:12:07.002,-0.04 ,-0.23 ,-0.98 ,-0.61 ,-0.85 ,0.61 ,19.03 ,23.19 ,35.06
2021_11_18_08:12:07.076,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.85 ,0.61 ,19.69 ,22.77 ,35.64
2021_11_18_08:12:07.151,-0.04 ,-0.23 ,-0.98 ,-0.61 ,-0.67 ,0.73 ,19.20 ,23.44 ,34.97
2021_11_18_08:12:07.226,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.73 ,0.55 ,19.59 ,22.96 ,35.18
2021_11_18_08:12:07.302,-0.04 ,-0.23 ,-0.98 ,-0.49 ,-0.79 ,0.73 ,18.49 ,23.05 ,35.66
2021_11_18_08:12:07.377,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.85 ,0.55 ,19.46 ,22.71 ,36.18
2021_11_18_08:12:07.436,-0.04 ,-0.23 ,-0.98 ,-0.55 ,-0.79 ,0.61 ,19.10 ,22.95 ,35.18
2021_11_18_08:12:07.512,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.73 ,0.55 ,19.19 ,23.44 ,35.58
2021_11_18_08:12:07.602,-0.04 ,-0.23 ,-0.98 ,-0.55 ,-0.92 ,0.55 ,18.84 ,22.44 ,35.42
2021_11_18_08:12:07.662,-0.04 ,-0.23 ,-0.98 ,-0.55 ,-0.79 ,0.61 ,19.49 ,22.92 ,35.27
2021_11_18_08:12:07.737,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.85 ,0.61 ,18.98 ,22.80 ,35.40
2021_11_18_08:12:07.812,-0.04 ,-0.24 ,-1.02 ,1.22 ,-0.61 ,0.43 ,18.93 ,23.01 ,36.01
2021_11_18_08:12:07.887,-0.03 ,-0.23 ,-0.97 ,-0.73 ,-0.92 ,0.55 ,18.93 ,23.73 ,35.40
2021_11_18_08:12:07.947,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.85 ,0.61 ,19.01 ,23.22 ,34.79
2021_11_18_08:12:08.022,-0.04 ,-0.23 ,-0.98 ,-0.98 ,-0.85 ,0.49 ,19.25 ,23.06 ,34.96
2021_11_18_08:12:08.097,-0.03 ,-0.23 ,-0.98 ,-0.49 ,-0.79 ,0.55 ,18.69 ,22.28 ,35.31
2021_11_18_08:12:08.172,-0.04 ,-0.23 ,-0.98 ,-0.98 ,-0.92 ,0.67 ,18.95 ,23.41 ,34.79
2021_11_18_08:12:08.247,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.85 ,0.67 ,19.58 ,23.22 ,34.74
2021_11_18_08:12:08.337,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.79 ,0.73 ,19.13 ,23.32 ,34.22
2021_11_18_08:12:08.412,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.85 ,0.61 ,19.10 ,23.39 ,35.03
2021_11_18_08:12:08.487,-0.04 ,-0.23 ,-0.98 ,-0.92 ,-0.79 ,0.61 ,18.77 ,23.35 ,35.10
2021_11_18_08:12:08.547,-0.04 ,-0.23 ,-0.98 ,-0.92 ,-0.92 ,0.49 ,18.77 ,23.35 ,35.10
2021_11_18_08:12:08.622,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.85 ,0.67 ,19.13 ,23.54 ,35.24
2021_11_18_08:12:08.697,-0.04 ,-0.23 ,-0.98 ,-0.61 ,-0.79 ,0.61 ,19.37 ,23.07 ,34.73
2021_11_18_08:12:08.757,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-0.92 ,0.73 ,18.97 ,22.67 ,35.12
2021_11_18_08:12:08.817,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.73 ,0.49 ,19.02 ,23.27 ,34.33
2021_11_18_08:12:08.907,-0.04 ,-0.23 ,-0.98 ,-0.85 ,-1.04 ,0.61 ,18.97 ,22.78 ,35.35
2021_11_18_08:12:08.982,-0.04 ,-0.23 ,-0.98 ,-0.49 ,-0.85 ,0.61 ,18.75 ,23.58 ,36.01
2021_11_18_08:12:09.042,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.85 ,0.73 ,18.49 ,23.39 ,35.10
2021_11_18_08:12:09.117,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.79 ,0.61 ,19.41 ,23.39 ,35.46
2021_11_18_08:12:09.192,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.73 ,0.73 ,19.10 ,22.89 ,35.27
2021_11_18_08:12:09.268,-0.04 ,-0.23 ,-0.98 ,-0.61 ,-0.73 ,0.61 ,19.42 ,22.46 ,35.51
2021_11_18_08:12:09.342,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.79 ,0.55 ,19.19 ,22.71 ,35.64
2021_11_18_08:12:09.417,-0.04 ,-0.23 ,-0.98 ,-0.79 ,-0.79 ,0.67 ,19.41 ,23.41 ,35.01
2021_11_18_08:12:09.493,-0.04 ,-0.23 ,-0.98 ,-0.55 ,-0.79 ,0.49 ,19.63 ,23.27 ,35.49
2021_11_18_08:12:09.582,-0.04 ,-0.23 ,-0.98 ,-0.55 ,-0.79 ,0.67 ,18.99 ,22.68 ,35.33
2021_11_18_08:12:09.673,-0.04 ,-0.23 ,-0.98 ,-0.73 ,-0.92 ,0.67 ,19.74 ,23.05 ,35.12
2021_11_18_08:12:09.733,-0.04 ,-0.23 ,-0.98 ,-0.55 ,-0.79 ,0.61 ,19.03 ,22.97 ,35.77
2021_11_18_08:12:09.823,-0.04 ,-0.23 ,-0.98 ,-0.67 ,-0.67 ,0.55 ,19.37 ,22.96 ,35.36
2021_11_18_08:12:09.883,-0.04 ,-0.23 ,-0.98 ,-0.49 ,-0.92 ,0.55 ,19.17 ,22.88 ,35.53
2021_11_18_08:12:09.958,-0.04 ,-0.23 ,-0.98 ,-0.55 ,-0.67 ,0.61 ,18.93 ,23.01 ,35.14
2021_11_18_08:12:10.032,-0.04 ,-0.23 ,-0.98 ,-0.98 ,-0.92 ,0.61 ,19.49 ,22.86 ,34.99
