timestamp,Ax ,Ay ,Az ,Gx ,Gy ,Gz ,Mx ,My ,Mz
1638174363791,0.71 ,0.30 ,0.46 ,-56.95 ,-106.69 ,-219.48 ,-28.54 ,55.59 ,-33.76
1638174363817,0.16 ,-1.41 ,0.83 ,-158.08 ,-14.04 ,-144.90 ,-36.72 ,53.09 ,-36.08
1638174363863,0.16 ,-1.28 ,1.02 ,16.72 ,24.90 ,93.14 ,-36.72 ,53.09 ,-36.08
1638174363895,0.13 ,-0.06 ,0.71 ,91.92 ,165.53 ,175.72 ,-33.73 ,53.09 ,-35.55
1638174363952,0.64 ,0.18 ,-1.09 ,-15.44 ,125.98 ,16.30 ,-30.08 ,53.85 ,-36.43
1638174363982,0.25 ,-1.17 ,0.54 ,-136.72 ,11.17 ,-86.36 ,-34.96 ,52.36 ,-38.07
1638174364023,0.25 ,-1.17 ,0.54 ,-136.72 ,11.17 ,-86.36 ,-34.96 ,52.36 ,-38.07
1638174364057,0.37 ,-0.37 ,0.73 ,-114.14 ,91.37 ,201.66 ,-29.03 ,49.72 ,-42.18
1638174364087,0.37 ,-0.37 ,0.73 ,-114.14 ,91.37 ,201.66 ,-29.03 ,49.72 ,-42.18
1638174364117,0.60 ,-0.13 ,0.07 ,-129.70 ,110.35 ,136.96 ,-29.03 ,49.72 ,-42.18
1638174364177,0.78 ,-0.09 ,0.79 ,-56.70 ,-73.67 ,57.86 ,-21.68 ,45.09 ,-45.61
1638174364223,0.69 ,-0.21 ,0.76 ,-138.00 ,-33.26 ,67.69 ,-21.11 ,43.36 ,-47.24
1638174364253,0.26 ,-0.43 ,0.65 ,-2.93 ,-272.03 ,-65.00 ,-16.96 ,38.95 ,-50.44
1638174364297,-0.00 ,-0.24 ,2.34 ,-205.93 ,-279.91 ,5.68 ,-19.43 ,36.46 ,-54.82
1638174364327,0.19 ,-0.40 ,1.41 ,-60.55 ,-16.48 ,13.79 ,-19.43 ,36.46 ,-54.82
1638174364357,0.20 ,0.18 ,0.78 ,44.49 ,0.31 ,30.52 ,-19.95 ,31.35 ,-58.91
1638174364402,-0.01 ,-0.14 ,0.79 ,91.86 ,-91.92 ,-58.59 ,-19.62 ,35.17 ,-58.68
1638174364434,-0.08 ,-0.11 ,0.73 ,-47.67 ,-96.80 ,-65.25 ,-32.98 ,38.77 ,-58.28
1638174364463,-0.08 ,-0.11 ,0.73 ,-47.67 ,-96.80 ,-65.25 ,-32.98 ,38.77 ,-58.28
1638174364492,-0.20 ,-0.27 ,0.86 ,3.11 ,-163.33 ,-89.42 ,-55.55 ,42.72 ,-54.53
1638174364538,-0.17 ,-0.65 ,1.11 ,71.04 ,14.10 ,29.66 ,-55.55 ,42.72 ,-54.53
1638174364582,-0.12 ,-0.01 ,0.81 ,6.59 ,26.61 ,23.74 ,-62.76 ,43.37 ,-52.08
1638174364614,-0.16 ,-0.33 ,0.79 ,12.63 ,-50.23 ,-32.90 ,-59.84 ,43.13 ,-53.92
1638174364657,-0.13 ,-0.37 ,0.77 ,3.54 ,15.99 ,3.30 ,-67.09 ,43.38 ,-52.60
1638174364717,-0.18 ,-0.23 ,0.92 ,2.75 ,-12.33 ,0.18 ,-65.71 ,43.59 ,-52.77
1638174364764,-0.18 ,-0.33 ,0.92 ,3.48 ,0.12 ,1.40 ,-66.28 ,43.43 ,-51.87
1638174364792,-0.18 ,-0.33 ,0.92 ,3.48 ,0.12 ,1.40 ,-66.28 ,43.43 ,-51.87
1638174364822,-0.18 ,-0.32 ,0.93 ,0.67 ,0.49 ,-0.12 ,-66.71 ,43.51 ,-52.32
1638174364869,-0.18 ,-0.33 ,0.93 ,1.89 ,0.73 ,-0.31 ,-67.26 ,43.20 ,-51.62
1638174364897,-0.18 ,-0.32 ,0.93 ,0.85 ,0.55 ,-0.24 ,-66.65 ,43.92 ,-52.39
1638174364927,-0.18 ,-0.32 ,0.93 ,0.85 ,0.55 ,-0.24 ,-66.65 ,43.92 ,-52.39
1638174364972,-0.18 ,-0.32 ,0.93 ,1.59 ,0.67 ,-0.37 ,-66.61 ,43.52 ,-53.28
1638174365032,-0.02 ,-0.79 ,0.75 ,7.20 ,70.31 ,31.98 ,-64.87 ,45.10 ,-52.66
1638174365092,-0.51 ,0.25 ,0.75 ,-27.65 ,-9.28 ,192.20 ,-54.25 ,46.92 ,-54.77
1638174365123,0.96 ,-0.09 ,0.24 ,-81.36 ,-15.08 ,-201.23 ,-49.39 ,47.28 ,-55.44
1638174365153,0.96 ,-0.09 ,0.24 ,-81.36 ,-15.08 ,-201.23 ,-49.39 ,47.28 ,-55.44
1638174365182,0.55 ,-0.08 ,0.79 ,71.66 ,36.25 ,-191.71 ,-55.14 ,38.51 ,-54.17
1638174365227,-0.41 ,-0.16 ,0.58 ,2.14 ,52.61 ,-118.96 ,-53.92 ,29.37 ,-55.49
1638174365257,-0.08 ,-0.66 ,0.94 ,-45.78 ,34.00 ,-58.59 ,-52.25 ,24.13 ,-55.77
1638174365287,-0.08 ,-0.66 ,0.94 ,-45.78 ,34.00 ,-58.59 ,-52.25 ,24.13 ,-55.77
1638174365347,-0.20 ,-0.17 ,0.97 ,1.83 ,-20.14 ,135.19 ,-51.54 ,22.30 ,-55.92
1638174365379,-0.11 ,0.01 ,1.09 ,-24.05 ,-19.10 ,93.93 ,-52.56 ,26.70 ,-55.90
1638174365408,-0.11 ,0.01 ,1.09 ,-24.05 ,-19.10 ,93.93 ,-52.56 ,26.70 ,-55.90
1638174365454,0.03 ,0.22 ,1.12 ,-62.07 ,-8.79 ,13.61 ,-53.50 ,28.49 ,-57.46
1638174365512,-0.02 ,-0.20 ,0.99 ,4.33 ,2.69 ,-22.71 ,-54.11 ,26.88 ,-56.43
